CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2007 -
Utilisateur: 

Description: 

N°	Date	Heure	Temps (s)	Voie 0 T éch(°C)	Voie 1 T Four(°C)	Voie 2 DL (1/10 mm)	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n°	Incident txt
97	30-09-2015	09:24:46	480.00	139.3	143.4	0.007	0	0	0	0	0	-0.505804	-0.511014	0.007390	0.000000	0.000000	0.000000	0.000000	0.000000	0		
98	30-09-2015	09:24:51	485.00	139.4	143.4	0.007	0	0	0	0	0	-0.505874	-0.510962	0.007419	0.000000	0.000000	0.000000	0.000000	0.000000	0		
99	30-09-2015	09:24:56	490.00	139.5	143.4	0.007	0	0	0	0	0	-0.505954	-0.510985	0.007393	0.000000	0.000000	0.000000	0.000000	0.000000	0		
100	30-09-2015	09:25:01	495.00	139.5	143.4	0.007	0	0	0	0	0	-0.506003	-0.510951	0.007375	0.000000	0.000000	0.000000	0.000000	0.000000	0		
101	30-09-2015	09:25:05	500.00	139.6	143.4	0.008	0	0	0	0	0	-0.506105	-0.510953	0.007514	0.000000	0.000000	0.000000	0.000000	0.000000	0		
102	30-09-2015	09:25:10	505.00	139.6	143.4	0.007	0	0	0	0	0	-0.506149	-0.510963	0.007462	0.000000	0.000000	0.000000	0.000000	0.000000	0		
103	30-09-2015	09:25:15	510.00	139.7	143.4	0.008	0	0	0	0	0	-0.506225	-0.510945	0.007583	0.000000	0.000000	0.000000	0.000000	0.000000	0		
104	30-09-2015	09:25:20	515.00	139.7	143.4	0.008	0	0	0	0	0	-0.506294	-0.510907	0.007598	0.000000	0.000000	0.000000	0.000000	0.000000	0		
105	30-09-2015	09:25:25	520.00	139.8	143.4	0.008	0	0	0	0	0	-0.506354	-0.510915	0.007732	0.000000	0.000000	0.000000	0.000000	0.000000	0		
106	30-09-2015	09:25:30	525.00	139.9	143.4	0.008	0	0	0	0	0	-0.506446	-0.510917	0.007607	0.000000	0.000000	0.000000	0.000000	0.000000	0		
107	30-09-2015	09:25:35	530.00	139.8	143.3	0.008	0	0	0	0	0	-0.506444	-0.510863	0.007735	0.000000	0.000000	0.000000	0.000000	0.000000	0		
108	30-09-2015	09:25:40	535.00	139.8	143.3	0.008	0	0	0	0	0	-0.506443	-0.510843	0.007800	0.000000	0.000000	0.000000	0.000000	0.000000	0		
109	30-09-2015	09:25:45	540.00	139.9	143.3	0.008	0	0	0	0	0	-0.506494	-0.510859	0.007853	0.000000	0.000000	0.000000	0.000000	0.000000	0		
110	30-09-2015	09:25:50	545.00	139.9	143.3	0.008	0	0	0	0	0	-0.506535	-0.510844	0.007809	0.000000	0.000000	0.000000	0.000000	0.000000	0		
111	30-09-2015	09:25:55	550.00	140.0	143.3	0.008	0	0	0	0	0	-0.506582	-0.510819	0.007952	0.000000	0.000000	0.000000	0.000000	0.000000	0		
112	30-09-2015	09:26:00	555.00	140.0	143.3	0.008	0	0	0	0	0	-0.506610	-0.510816	0.007822	0.000000	0.000000	0.000000	0.000000	0.000000	0		
113	30-09-2015	09:26:05	560.00	140.0	143.3	0.008	0	0	0	0	0	-0.506668	-0.510764	0.007926	0.000000	0.000000	0.000000	0.000000	0.000000	0		
114	30-09-2015	09:26:10	565.00	140.1	143.3	0.008	0	0	0	0	0	-0.506705	-0.510792	0.007860	0.000000	0.000000	0.000000	0.000000	0.000000	0		
115	30-09-2015	09:26:15	570.00	140.1	143.3	0.008	0	0	0	0	0	-0.506733	-0.510770	0.008024	0.000000	0.000000	0.000000	0.000000	0.000000	0		
116	30-09-2015	09:26:20	575.00	140.1	143.3	0.008	0	0	0	0	0	-0.506762	-0.510772	0.008007	0.000000	0.000000	0.000000	0.000000	0.000000	0		
117	30-09-2015	09:26:25	580.00	140.1	143.2	0.008	0	0	0	0	0	-0.506791	-0.510698	0.008023	0.000000	0.000000	0.000000	0.000000	0.000000	0		
118	30-09-2015	09:26:30	585.00	140.2	143.2	0.008	0	0	0	0	0	-0.506834	-0.510751	0.007958	0.000000	0.000000	0.000000	0.000000	0.000000	0		
119	30-09-2015	09:26:35	590.00	140.2	143.2	0.008	0	0	0	0	0	-0.506856	-0.510722	0.008082	0.000000	0.000000	0.000000	0.000000	0.000000	0		
120	30-09-2015	09:26:40	595.00	140.2	143.2	0.008	0	0	0	0	0	-0.506899	-0.510667	0.008042	0.000000	0.000000	0.000000	0.000000	0.000000	0		
121	30-09-2015	09:26:45	600.00	140.2	143.2	0.008	0	0	0	0	0	-0.506940	-0.510652	0.008049	0.000000	0.000000	0.000000	0.000000	0.000000	0		
122	30-09-2015	09:26:50	605.00	140.3	143.1	0.008	0	0	0	0	0	-0.506992	-0.510635	0.008153	0.000000	0.000000	0.000000	0.000000	0.000000	0		
123	30-09-2015	09:26:55	610.00	140.3	143.1	0.008	0	0	0	0	0	-0.507003	-0.510609	0.008187	0.000000	0.000000	0.000000	0.000000	0.000000	0		
124	30-09-2015	09:27:00	615.00	140.3	143.1	0.008	0	0	0	0	0	-0.507046	-0.510613	0.008094	0.000000	0.000000	0.000000	0.000000	0.000000	0		
125	30-09-2015	09:27:05	620.00	140.4	143.1	0.008	0	0	0	0	0	-0.507106	-0.510557	0.008120	0.000000	0.000000	0.000000	0.000000	0.000000	0		
126	30-09-2015	09:27:10	625.00	140.4	143.1	0.008	0	0	0	0	0	-0.507118	-0.510583	0.008350	0.000000	0.000000	0.000000	0.000000	0.000000	0		
127	30-09-2015	09:27:15	630.00	140.4	143.1	0.008	0	0	0	0	0	-0.507131	-0.510512	0.008200	0.000000	0.000000	0.000000	0.000000	0.000000	0		
128	30-09-2015	09:27:20	635.00	140.4	143.1	0.008	0	0	0	0	0	-0.507156	-0.510530	0.008223	0.000000	0.000000	0.000000	0.000000	0.000000	0		
129	30-09-2015	09:27:25	640.00	140.4	143.1	0.008	0	0	0	0	0	-0.507194	-0.510512	0.008297	0.000000	0.000000	0.000000	0.000000	0.000000	0		
130	30-09-2015	09:27:30	645.00	140.5	143.0	0.008	0	0	0	0	0	-0.507232	-0.510491	0.008229	0.000000	0.000000	0.000000	0.000000	0.000000	0		
131	30-09-2015	09:27:35	650.00	140.5	143.0	0.008	0	0	0	0	0	-0.507270	-0.510476	0.008279	0.000000	0.000000	0.000000	0.000000	0.000000	0		
132	30-09-2015	09:27:40	655.00	140.5	143.0	0.008	0	0	0	0	0	-0.507301	-0.510439	0.008301	0.000000	0.000000	0.000000	0.000000	0.000000	0		
133	30-09-2015	09:27:45	660.00	140.5	143.0	0.008	0	0	0	0	0	-0.507317	-0.510408	0.008430	0.000000	0.000000	0.000000	0.000000	0.000000	0		
134	30-09-2015	09:27:50	665.00	140.6	143.0	0.008	0	0	0	0	0	-0.507336	-0.510390	0.008397	0.000000	0.000000	0.000000	0.000000	0.000000	0		
135	30-09-2015	09:27:55	670.00	140.6	142.9	0.008	0	0	0	0	0	-0.507370	-0.510351	0.008350	0.000000	0.000000	0.000000	0.000000	0.000000	0		
136	30-09-2015	09:28:00	675.00	140.6	142.9	0.008	0	0	0	0	0	-0.507381	-0.510356	0.008323	0.000000	0.000000	0.000000	0.000000	0.000000	0		
137	30-09-2015	09:28:05	680.00	140.6	142.9	0.008	0	0	0	0	0	-0.507388	-0.510338	0.008411	0.000000	0.000000	0.000000	0.000000	0.000000	0		
138	30-09-2015	09:28:10	685.00	140.6	142.9	0.008	0	0	0	0	0	-0.507418	-0.510304	0.008398	0.000000	0.000000	0.000000	0.000000	0.000000	0		
139	30-09-2015	09:28:15	690.00	140.7	142.9	0.008	0	0	0	0	0	-0.507462	-0.510257	0.008371	0.000000	0.000000	0.000000	0.000000	0.000000	0		
140	30-09-2015	09:28:20	695.00	140.6	142.8	0.009	0	0	0	0	0	-0.507443	-0.510201	0.008582	0.000000	0.000000	0.000000	0.000000	0.000000	0		
141	30-09-2015	09:28:25	700.00	140.7	142.8	0.008	0	0	0	0	0	-0.507476	-0.510195	0.008410	0.000000	0.000000	0.000000	0.000000	0.000000	0		
142	30-09-2015	09:28:30	705.00	140.6	142.8	0.008	0	0	0	0	0	-0.507458	-0.510166	0.008449	0.000000	0.000000	0.000000	0.000000	0.000000	0		
143	30-09-2015	09:28:35	710.00	140.7	142.8	0.008	0	0	0	0	0	-0.507523	-0.510149	0.008454	0.000000	0.000000	0.000000	0.000000	0.000000	0		
144	30-09-2015	09:28:40	715.00	140.7	142.8	0.009	0	0	0	0	0	-0.507516	-0.510139	0.008509	0.000000	0.000000	0.000000	0.000000	0.000000	0		
145	30-09-2015	09:28:45	720.00	140.7	142.7	0.009	0	0	0	0	0	-0.507553	-0.510107	0.008585	0.000000	0.000000	0.000000	0.000000	0.000000	0		
146	30-09-2015	09:28:50	725.00	140.7	142.7	0.008	0	0	0	0	0	-0.507566	-0.510075	0.008430	0.000000	0.000000	0.000000	0.000000	0.000000	0		
147	30-09-2015	09:28:55	730.00	140.8	142.7	0.009	0	0	0	0	0	-0.507590	-0.510032	0.008524	0.000000	0.000000	0.000000	0.000000	0.000000	0		
148	30-09-2015	09:29:00	735.00	140.7	142.7	0.009	0	0	0	0	0	-0.507553	-0.510038	0.008552	0.000000	0.000000	0.000000	0.000000	0.000000	0		
149	30-09-2015	09:29:05	740.00	140.7	142.6	0.009	0	0	0	0	0	-0.507571	-0.509973	0.008654	0.000000	0.000000	0.000000	0.000000	0.000000	0		
