CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2010																					
Utilisateur: 																					
																					
Description: 																					
																					
N?	Date	Heure	Temps (s)	Voie 0 U(V)	Voie 1 I(A)	Voie 2 	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n?	Incident txt
120	09/10/2013	09:11:53	11.90	9.0636530	1.3644452	0	0	0	0	0	0	9.081817	1.313054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
121	09/10/2013	09:11:54	12.00	9.0637474	1.3641783	0	0	0	0	0	0	9.081912	1.312794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
122	09/10/2013	09:11:54	12.10	9.0638428	1.3647767	0	0	0	0	0	0	9.082007	1.313375	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
123	09/10/2013	09:11:54	12.20	9.0638857	1.3641282	0	0	0	0	0	0	9.082050	1.312746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
124	09/10/2013	09:11:54	12.30	9.0638800	1.3642905	0	0	0	0	0	0	9.082045	1.312903	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
125	09/10/2013	09:11:54	12.40	9.0639334	1.3646749	0	0	0	0	0	0	9.082098	1.313277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
126	09/10/2013	09:11:54	12.50	9.0640173	1.3647848	0	0	0	0	0	0	9.082182	1.313383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
127	09/10/2013	09:11:54	12.60	9.0640545	1.3645233	0	0	0	0	0	0	9.082219	1.313129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
128	09/10/2013	09:11:54	12.70	9.0640669	1.3641940	0	0	0	0	0	0	9.082232	1.312810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
129	09/10/2013	09:11:54	12.80	9.0640745	1.3644023	0	0	0	0	0	0	9.082239	1.313012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
130	09/10/2013	09:11:54	12.90	9.0640774	1.3641560	0	0	0	0	0	0	9.082242	1.312773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
131	09/10/2013	09:11:55	13.00	9.0641022	1.3643847	0	0	0	0	0	0	9.082267	1.312995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
132	09/10/2013	09:11:55	13.10	9.0641499	1.3642642	0	0	0	0	0	0	9.082314	1.312878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
133	09/10/2013	09:11:55	13.20	9.0641403	1.3641095	0	0	0	0	0	0	9.082305	1.312728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
134	09/10/2013	09:11:55	13.30	9.0641165	1.3641559	0	0	0	0	0	0	9.082281	1.312773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
135	09/10/2013	09:11:55	13.40	9.0640717	1.3642032	0	0	0	0	0	0	9.082236	1.312819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
136	09/10/2013	09:11:55	13.50	9.0640478	1.3642608	0	0	0	0	0	0	9.082212	1.312875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
137	09/10/2013	09:11:55	13.60	9.0640869	1.3642275	0	0	0	0	0	0	9.082252	1.312842	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
138	09/10/2013	09:11:55	13.70	9.0641851	1.3642017	0	0	0	0	0	0	9.082350	1.312817	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
139	09/10/2013	09:11:55	13.80	9.0642204	1.3642857	0	0	0	0	0	0	9.082385	1.312899	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
140	09/10/2013	09:11:55	13.90	9.0643358	1.3642029	0	0	0	0	0	0	9.082501	1.312818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
141	09/10/2013	09:11:56	14.00	9.0643950	1.3640600	0	0	0	0	0	0	9.082561	1.312680	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
142	09/10/2013	09:11:56	14.10	9.0644703	1.3643316	0	0	0	0	0	0	9.082636	1.312943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
143	09/10/2013	09:11:56	14.20	9.0644703	1.3643615	0	0	0	0	0	0	9.082635	1.312972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
144	09/10/2013	09:11:56	14.30	9.0645084	1.3642550	0	0	0	0	0	0	9.082674	1.312869	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
145	09/10/2013	09:11:56	14.40	9.0645771	1.3644475	0	0	0	0	0	0	9.082743	1.313056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
146	09/10/2013	09:11:56	14.50	9.0647182	1.3644298	0	0	0	0	0	0	9.082884	1.313039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
147	09/10/2013	09:11:56	14.60	9.0648489	1.3642714	0	0	0	0	0	0	9.083014	1.312885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
148	09/10/2013	09:11:56	14.70	9.0649424	1.3641675	0	0	0	0	0	0	9.083109	1.312784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
149	09/10/2013	09:11:56	14.80	9.0650272	1.3643439	0	0	0	0	0	0	9.083193	1.312955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
